shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-A-MT,1654,47.578740,-122.307370,2612.66
1-SHUTTLE-A-MT,1655,47.578730,-122.306840,2652.43
1-SHUTTLE-A-MT,1656,47.578730,-122.306710,2662.18
1-SHUTTLE-A-MT,1657,47.578730,-122.306610,2669.68
1-SHUTTLE-A-MT,1658,47.578740,-122.306070,2710.2
1-SHUTTLE-A-MT,1659,47.578740,-122.305680,2739.45
1-SHUTTLE-A-MT,1660,47.578730,-122.305560,2748.52
1-SHUTTLE-A-MT,1661,47.578720,-122.305530,2751.03
1-SHUTTLE-A-MT,1662,47.578710,-122.305480,2754.94
1-SHUTTLE-A-MT,1663,47.578680,-122.305450,2758.97
1-SHUTTLE-A-MT,1664,47.578650,-122.305420,2762.99
1-SHUTTLE-A-MT,1665,47.578610,-122.305400,2767.69
1-SHUTTLE-A-MT,1666,47.578520,-122.305390,2777.72
1-SHUTTLE-A-MT,1667,47.578440,-122.305370,2786.74
1-SHUTTLE-A-MT,1668,47.578420,-122.305340,2789.91
1-SHUTTLE-A-MT,1669,47.578400,-122.305320,2792.59
1-SHUTTLE-A-MT,1670,47.578380,-122.305260,2797.61
1-SHUTTLE-A-MT,1671,47.578360,-122.305170,2804.72
1-SHUTTLE-A-MT,1672,47.578350,-122.304450,2858.73
1-SHUTTLE-A-MT,1673,47.578350,-122.304340,2866.99
1-SHUTTLE-A-MT,1674,47.578350,-122.304250,2873.74
1-SHUTTLE-A-MT,1675,47.578350,-122.303440,2934.5
1-SHUTTLE-A-MT,1676,47.578340,-122.303320,2943.56
1-SHUTTLE-A-MT,1677,47.578340,-122.303270,2947.32
1-SHUTTLE-A-MT,1678,47.578340,-122.302330,3017.82
1-SHUTTLE-A-MT,1679,47.578350,-122.301380,3089.09
1-SHUTTLE-A-MT,1680,47.578350,-122.301300,3095.09
1-SHUTTLE-A-MT,1681,47.578350,-122.300360,3165.6
1-SHUTTLE-A-MT,1682,47.578350,-122.300300,3170.1
1-SHUTTLE-A-MT,1683,47.578350,-122.300230,3175.35
1-SHUTTLE-A-MT,1684,47.578350,-122.299400,3237.61
1-SHUTTLE-A-MT,1685,47.578350,-122.299310,3244.36
1-SHUTTLE-A-MT,1686,47.578350,-122.299240,3249.61
1-SHUTTLE-A-MT,1687,47.578350,-122.299050,3263.87
1-SHUTTLE-A-MT,1688,47.578350,-122.298890,3275.87
1-SHUTTLE-A-MT,1689,47.578350,-122.298740,3287.12
1-SHUTTLE-A-MT,1690,47.578350,-122.298380,3314.12
1-SHUTTLE-A-MT,1691,47.578350,-122.298130,3332.88
1-SHUTTLE-A-MT,1692,47.578240,-122.298050,3346.5
1-SHUTTLE-A-MT,1693,47.578220,-122.298030,3349.18
1-SHUTTLE-A-MT,1694,47.577960,-122.297840,3381.41
1-SHUTTLE-A-MT,1695,47.577790,-122.297720,3402.35
1-SHUTTLE-A-MT,1696,47.577560,-122.297540,3431.27
1-SHUTTLE-A-MT,1697,47.577490,-122.297490,3439.91
1-SHUTTLE-A-MT,1698,47.577460,-122.297470,3443.57
1-SHUTTLE-A-MT,1699,47.577430,-122.297440,3447.59
1-SHUTTLE-A-MT,1700,47.577190,-122.297270,3477.17
1-SHUTTLE-A-MT,1701,47.577090,-122.297200,3489.47
1-SHUTTLE-A-MT,1702,47.576970,-122.297100,3504.77
1-SHUTTLE-A-MT,1703,47.576920,-122.297060,3511.09
